name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
PREMINT Creator Pass,7,0.75,0.94,0.99,7,6.93,578,745.0
ASM Brains,27,2.9,2.6,1.89,231,436.59,2767,8877.0
Kohi x eepmon CityLights,12,1.29,4.47,0.04,54,2.16,556,1208.0
The Forgotten Cult,4,0.43,0.72,0.01,24,0.24,1133,3333.0
ABSOLUTELY DO NOT MINT,50,5.38,4.25,0.2,159,31.8,1258,3743.0
Two Bit Bears + Honey,2,0.22,200.0,0.11,2,0.22,426,1.0
CryptoNewYorkerBanner,5,0.54,50.0,0.08,5,0.4,477,10.0
Gallery Premium Membership Cards,53,5.7,775.0,0.27,62,16.740000000000002,1082,8.0
Arpeggi Genesis Studio Pass,2,0.22,0.33,0.4,2,0.8,323,600.0
Two Bit Bears,5,0.54,0.18,0.02,9,0.18,1586,5000.0
Kohi Kintsugi,13,1.4,2.49,0.13,25,3.25,551,1003.0
Monarchs.Art,5,0.54,0.56,0.15,5,0.75,604,888.0
GAWDS,13,1.4,2.44,0.04,132,5.28,1569,5399.0
Obits Official,59,6.34,5.26,0.06,375,22.5,2942,7132.0
My Little Orphan,4,0.43,0.36,0.01,14,0.14,623,3887.0
spectral beings (official),8,0.86,4.05,0.15,36,5.3999999999999995,376,888.0
Cyber Factory 2,85,9.14,1880.0,0.64,94,60.160000000000004,9383,5.0
3Words,6,0.65,7.95,0.08,24,1.92,170,302.0
First First NFTs,30,3.23,4.0,0.05,200,10.0,1781,5000.0
Loot Items (for Adventurers),2,0.22,1.92,0.01,16,0.16,64,832.0
The Settlements (Legacy),9,0.97,1.26,0.02,125,2.5,1580,9905.0
cLoot (for Chinese Adventurers),15,1.61,0.98,0.03,24,0.72,1201,2454.0
Dope Wars,7,0.75,1.01,0.17,81,13.770000000000001,2038,8000.0
Creature World,62,6.67,1.15,0.52,115,59.800000000000004,6229,10000.0
Loot (for Adventurers),38,4.09,1.04,1.33,81,107.73,2593,7779.0
HeavenComputer,36,3.87,2.91,0.08,226,18.080000000000002,2845,7777.0
Mirror Editions V4,7,0.75,1.07,0.1,11,1.1,841,1026.0
One Hour Time Pieces,10,1.08,3.2,0.32,16,5.12,291,500.0
MAIN OBJECT,5,0.54,17.0,0.1,17,1.7000000000000002,56,100.0
RTFKT PUNK PROJECT GEN 1,16,1.72,10.61,3.97,52,206.44,264,490.0
League of Kingdoms (Ethereum),5,0.54,0.24,0.0,21,0.0,2469,8641.0
KLEEE02,3,0.32,2.22,3.9,8,31.2,173,360.0
Alien Frens Incubator,19,2.04,1900.0,0.26,19,4.94,4937,1.0
First Day Out by DrifterShoots,46,4.95,0.68,0.07,70,4.9,6691,10351.0
Quadrums,6,0.65,1.27,0.06,13,0.78,564,1024.0
RickhouseDAO,109,11.72,10900.0,0.8,109,87.2,788,1.0
10KTF Gucci Grail,58,6.24,2.23,1.46,95,138.7,2997,4253.0
Identities by Sketcha,9,0.97,2.73,0.04,22,0.88,486,806.0
Queens+Kings,256,27.53,5.32,0.18,390,70.2,2461,7329.0
Quantum Curated,66,7.1,11.48,0.33,304,100.32000000000001,1016,2649.0
Memories of Qilin by Emily Xie,35,3.76,9.08,0.8,93,74.4,489,1024.0
Screens by Thomas Lin Pedersen,21,2.26,4.0,1.2,40,48.0,506,1000.0
Chimera by mpkoz,27,2.9,4.26,0.65,42,27.3,644,987.0
Gazers by Matt Kane,24,2.58,3.9,5.69,39,221.91000000000003,412,1000.0
Woodies Generative Characters,137,14.73,6.89,0.25,671,167.75,3882,9739.0
cPolarBear,222,23.87,370.0,0.0488,222,10.8336,3005,60.0
Moonbirds V2,203,21.83,80.56,0.0,203,0.0,252,252.0
The SolaVerse: Companions,1,0.11,0.1,0.04,3,0.12,763,2898.0
VeeCon  Tickets,68,7.31,1.14,0.39,117,45.63,5697,10248.0
Everdragons2 Genesis Token (bridged),1,0.11,100.0,0.0,1,0.0,1,1.0
VectorField,13,1.4,30.16,0.5,19,9.5,45,63.0
The Sandbox ASSETS,53,5.7,6.59,0.01,169,1.69,36595,2564.0
The SolaVerse: SOLA-STARS,1,0.11,0.1,0.22,2,0.44,871,2000.0
VeeFriends Mini Drops,16,1.72,2.39,1.0,55,55.0,760,2301.0
LODB Angels Collection,1,0.11,0.7,0.01,10,0.1,513,1438.0
The League Of Sacred Devils,2,0.22,0.1,0.0,10,0.0,3712,10000.0
VeeFriends,75,8.06,1.37,10.5,140,1470.0,5205,10255.0
Everdragons,3,0.32,0.62,0.17,6,1.02,178,972.0
Creature Journey Artifacts,16,1.72,0.85,0.01,26,0.26,1924,3059.0
CAP - 6toj3grB6w,1,0.11,0.08,0.0,1,0.0,14,1265.0
VAPES - Vertically Flipped Apes,1,0.11,0.29,0.0,10,0.0,463,3501.0
Rug Radio Membership Pass,65,6.99,0.61,0.04,122,4.88,13551,20000.0
Jadu Hoverboard,10,1.08,0.29,0.59,19,11.209999999999999,2643,6666.0
Floor Sweeping Brooms,1,0.11,0.36,0.01,2,0.02,154,557.0
You by BFF,42,4.52,0.76,0.58,76,44.08,5372,10000.0
EightBit Me,76,8.17,3.05,1.2,271,325.2,3246,8888.0
Made By Ape,3,0.32,1.12,0.01,7,0.07,337,627.0
Shackled Genesis,50,5.38,10.74,0.06,110,6.6,406,1024.0
The Kiss Precise,71,7.63,15.82,0.3,128,38.4,476,809.0
Liminals by Travis LeRoy Southworth,5,0.54,1.66,0.04,17,0.68,394,1024.0
BFF Friendship Bracelets,49,5.27,1.04,0.8,88,70.4,7160,8444.0
TOKYO PUNKS by SABET,43,4.62,1.81,0.06,88,5.279999999999999,2808,4850.0
Angry Ape Army Evolution Collection,30,3.23,0.85,0.14,85,11.9,2694,10000.0
The Aquatica Collection,55,5.91,35.08,0.09,107,9.629999999999999,171,305.0
STARKADE: Legion,15,1.61,0.78,0.06,55,3.3,1963,7015.0
The Tiger Archives - PMC x Tiger Beer,9,0.97,0.19,0.02,13,0.26,2772,6688.0
Lowest Effort Punks,3,0.32,0.87,0.0,8,0.0,288,916.0
ChainFaces Arena,30,3.23,0.37,0.03,99,2.9699999999999998,5603,26969.0
Fyat Lux (Dawn Collection),21,2.26,0.75,0.04,61,2.44,3758,8080.0
ETH Walkers,6,0.65,0.3,0.01,11,0.11,1238,3720.0
SABET V2,4,0.43,2.37,0.02,5,0.1,170,211.0
Sabet Sketchbook,1,0.11,1.52,0.06,1,0.06,285,66.0
Sabet,12,1.29,6.84,0.2,13,2.6,1116,190.0
SABET LOVE,4,0.43,31.25,0.08,5,0.4,350,16.0
NYC February 19th 2020,6,0.65,600.0,0.0,6,0.0,12583,1.0
Decentraland Names,11,1.18,0.04,0.05,12,0.6000000000000001,13118,33728.0
HELLO365DAYSWTF,6,0.65,0.11,0.01,6,0.06,5353,5489.0
Decentraland Wearables,8,0.86,0.01,0.01,9,0.09,10646,71571.0
Neon District,6,0.65,0.03,0.001,14,0.014,2454,46853.0
MegaCryptoPolis,14,1.51,0.02,0.0,15,0.0,23503,63746.0
Decentraland,16,1.72,0.05,2.44,49,119.56,7021,97467.0
Gods Unchained Collectibles,2,0.22,0.01,0.01,4,0.04,7868,37935.0
Arcona Digital Land,2,0.22,0.01,0.04,2,0.08,4292,14180.0
CryptoKitties,35,3.76,0.01,0.0,168,0.0,115374,2011848.0
JPG PEOPLE by Debbie Tea,21,2.26,1.18,0.01,105,1.05,4551,8888.0
Longines,1,0.11,10.0,10.0,1,10.0,5,10.0
STAC Flyer - Azuki,34,3.66,1.44,0.0,78,0.0,3248,5403.0
TPL Mecha Part,51,5.48,3250.0,0.04,65,2.6,4043,2.0
Pixoods,43,4.62,1.54,0.02,117,2.34,3623,7601.0
Gutter Punks - Arcade Land,8,0.86,0.28,0.0,28,0.0,5670,9999.0
Brain Loops by Gene Kogan,38,4.09,6.1,0.18,61,10.98,579,1000.0
Draw X Ape,19,2.04,12.4,0.0,123,0.0,751,992.0
Gutter Punks - WoWG,59,6.34,0.84,0.01,157,1.57,9365,18732.0
Arcade Land,10,1.08,0.54,0.84,54,45.36,5526,10000.0
The Seekers,19,2.04,0.8,0.08,384,30.72,6024,47892.0
World of Women Galaxy,72,7.74,0.87,0.95,184,174.79999999999998,11172,21124.0
JustAHuman Club,1,0.11,0.33,0.17,1,0.17,6,302.0
S.H.E.,1,0.11,0.24,0.04,1,0.04,215,418.0
KryptoSutra,1,0.11,25.0,0.69,1,0.69,2,4.0
ETHTerrestrials,3,0.32,0.61,0.03,26,0.78,787,4269.0
Animations - pRwytFX4R1,1,0.11,33.33,0.0,1,0.0,3,3.0
Astro Girls Society Official,2,0.22,0.18,0.03,7,0.21,1412,3888.0
CyberBrokers,57,6.13,3.01,3.19,301,960.1899999999999,3756,9996.0
Non Fungible Conference Genesis Ticket,4,0.43,0.33,0.05,4,0.2,1074,1199.0
Justin Aversano - Smoke and Mirrors - Collection of 78 Tarot Portraits,4,0.43,10.26,36.01,8,288.08,39,78.0
CryptoPunks V1 (wrapped),11,1.18,3.13,6.29,76,478.04,666,2428.0
Home photoshoot,1,0.11,2.56,0.23,1,0.23,14,39.0
Keepers of the Inn,6,0.65,0.51,0.03,17,0.51,1212,3356.0
Doodles,55,5.91,1.57,15.5,157,2433.5,4847,10000.0
Pussy Riot ACAB,5,0.54,1.5,0.5,5,2.5,311,333.0
Girl and Camera by hurtingbombz,1,0.11,19.05,0.99,4,3.96,13,21.0
Infinites AI,11,1.18,5.86,0.8,30,24.0,278,512.0
Ballet Poetry,2,0.22,6.67,0.25,3,0.75,7,45.0
Sad Girls Bar,22,2.37,0.49,0.12,49,5.88,4637,10000.0
World of Women,51,5.48,1.88,7.9,188,1485.2,5343,10000.0
Meebits,90,9.68,2.15,5.99,431,2581.69,6462,20000.0
MoonCats,34,3.66,0.36,0.5,69,34.5,5784,19090.0
WrappedEtherWaifu,2,0.22,2.15,0.44,15,6.6,263,697.0
My Curio Cards,32,3.44,363.33,0.32,109,34.88,4995,30.0
Wrapped Curio Cards,5,0.54,92.86,1.5,13,19.5,242,14.0
LolTapes,1,0.11,2.56,0.09,1,0.09,26,39.0
Waifusion,5,0.54,0.4,0.06,65,3.9,2254,16382.0
Justin Aversano - Smoke and Mirrors - Physical Tarot Scrolls,18,1.94,9.72,3.29,31,101.99,249,319.0
Punks Mavericks and Mishegas,1,0.11,100.0,0.03,1,0.03,146,1.0
XCOPY,39,4.19,4.59,3.96,65,257.4,614,1415.0
Cryptovoxels,11,1.18,0.4,0.99,29,28.71,2268,7280.0
CryptoPunks,70,7.53,1.58,61.99,158,9794.42,3450,9999.0
CREYZIES,46,4.95,1.34,0.16,133,21.28,5287,9946.0
National Beer Day 2022 - Cheers,16,1.72,1600.0,0.01,16,0.16,5432,1.0
Goopdoods by Goopdude - Official Collection,8,0.86,0.35,0.13,28,3.64,3463,7999.0
Bud Light N3XT Collection,16,1.72,0.26,0.01,33,0.33,5433,12586.0
to Bored Snake Club,22,2.37,50.0,0.1,22,2.2,4003,44.0
Underground Pass,3,0.32,300.0,5.5,3,16.5,191,1.0
Deadfrenz Lab Access Pass,8,0.86,216.67,0.24,13,3.12,1097,6.0
Pukenza,41,4.41,1.52,0.04,122,4.88,3576,8010.0
Moonray Presale Pass,8,0.86,800.0,0.31,8,2.48,784,1.0
The Vogu MUTTS,6,0.65,1.35,0.02,76,1.52,1768,5627.0
Devs for Revolution,11,1.18,0.23,0.18,18,3.2399999999999998,6058,7833.0
Mutant Ape Yacht Club,114,12.26,1.51,39.99,283,11317.17,12384,18801.0
DeadFellaz,48,5.16,1.51,1.94,151,292.94,6180,9999.0
Crazy Crows Chess Club,5,0.54,0.17,0.0,14,0.0,1967,8193.0
BearsOnTheBlock,4,0.43,0.91,0.02,86,1.72,3317,9495.0
The Vogu Collective,14,1.51,1.12,0.13,87,11.31,2796,7777.0
Cool Cats Collabs,5,0.54,27.78,0.03,5,0.15,5879,18.0
Early Adopters: Cool Cats Comic Book Cover,7,0.75,1.66,0.04,7,0.28,378,421.0
